name,surname,level
Tracy,Durham,beginner
Jared,Sweeney,beginner
Caitlin,Jackson,expert
Kimberly,Wallace,expert
Ana,Smith,beginner
Raymond,Schaefer,intermediate
Michelle,Robinson,beginner
Edward,Cervantes,intermediate
Martha,Clark,expert
Joel,Moreno,intermediate
Kristin,Peters,beginner
Amanda,Rhodes,intermediate
Richard,Moreno,intermediate
Elizabeth,Dyer,beginner
Michael,Valenzuela,beginner
Samuel,Shannon,intermediate
Joshua,Davis,intermediate
Rebecca,Taylor,expert
Alexander,Adams,intermediate
Caroline,Mills,beginner
Ronald,Cox,beginner
Richard,Wright,intermediate
Paula,Watts,expert
Carla,Harrison,beginner
Cheryl,Johnson,beginner
Emma,Jacobs,expert
Alisha,Daniels,expert
Crystal,Patel,intermediate
Jennifer,Morales,beginner
John,Wright,expert
Drew,Coleman,expert
Jonathan,Ross,intermediate
Shaun,Grant,beginner
Anthony,Cooper,intermediate
Joshua,Brown,beginner
Austin,Davis,intermediate
Cassandra,Wilson,expert
Aaron,Davis,intermediate
Kenneth,Hogan,beginner
Wayne,Jenkins,expert
Madison,Chapman,expert
Christina,Moyer,intermediate
Brooke,Le,intermediate
Audrey,Perez,intermediate
Tyler,Mcdonald,beginner
Michael,Arnold,expert
Bobby,Patterson,intermediate
Jeffrey,Mcdaniel,intermediate
James,Martin,expert
Keith,Brown,beginner
Anita,Robertson,beginner
Katherine,Garcia,beginner
Christina,Patel,beginner
Brandon,Bates,beginner
Tracy,Jones,beginner
Drew,Landry,beginner
John,Ortega,expert
Sue,Watson,intermediate
Catherine,Williams,beginner
Brenda,Peterson,expert
James,Lara,expert
Jodi,Sanchez,beginner
Travis,White,intermediate
Lauren,Wells,expert
David,Day,intermediate
Richard,Jones,beginner
Michelle,Collins,expert
Kathleen,Stewart,expert
David,White,beginner
William,Mann,expert
Tyler,Maddox,expert
Lauren,Davis,beginner
Ashley,Shaw,beginner
Lisa,Keith,expert
Tina,Lopez,intermediate
Edward,Lester,intermediate
Keith,Martin,beginner
James,Martinez,beginner
Mark,Stevens,beginner
Heather,Wood,expert
Robert,Munoz,beginner
Michael,Merritt,beginner
Melanie,Davis,beginner
Jesus,Sutton,beginner
Heather,Roberts,beginner
Lindsay,Walker,expert
Carol,Jackson,intermediate
Jasmine,Webb,intermediate
Joshua,Maynard,intermediate
Mckenzie,Richardson,expert
Patrick,Costa,intermediate
Mark,Harrison,expert
David,Rasmussen,expert
Angela,Hopkins,intermediate
Jason,Gray,beginner
Elizabeth,Cross,beginner
Nicholas,Peterson,beginner
Paul,Sanders,expert
Rhonda,Nelson,beginner
Paul,Farrell,expert
Randy,Smith,beginner
Stacey,Mitchell,intermediate
Andrew,Brooks,intermediate
Carl,Church,intermediate
Lawrence,Ho,intermediate
Catherine,Perkins,beginner
Edward,Ramos,expert
Andrew,Morrow,beginner
Martin,Soto,intermediate
Francisco,Holloway,intermediate
Marissa,Cooper,expert
Matthew,Garner,expert
Daniel,Burns,beginner
Amy,Stephens,expert
Morgan,Wright,expert
Trevor,Hutchinson,intermediate
Amy,Miles,beginner
Joanna,Jones,intermediate
Ryan,Allen,expert
Tracy,Romero,beginner
Steven,Jensen,beginner
Shawna,Miller,expert
Abigail,Le,expert
Danielle,Bird,beginner
Daniel,Valencia,intermediate
Jacqueline,Smith,beginner
Michael,Ramirez,beginner
Larry,Diaz,beginner
Kevin,Hardy,beginner
Stacy,Robbins,beginner
Taylor,Thomas,beginner
Ashley,Pena,expert
Anna,Guerrero,beginner
Michael,Hodges,beginner
Dustin,Fry,expert
Nicholas,Williams,beginner
Jason,Barnes,intermediate
Nathan,Barnes,intermediate
Jason,Bryant,beginner
Kaylee,Ballard,intermediate
Sabrina,Golden,intermediate
Jessica,Gould,intermediate
Brian,Baker,expert
Kara,Brown,expert
Julia,Cook,intermediate
Justin,Rogers,beginner
Joseph,Evans,beginner
Joseph,Campbell,expert
Janet,Reed,beginner
Ralph,Alvarado,beginner
Patricia,Morales,intermediate
Gina,Stewart,intermediate
Stacy,Chavez,intermediate
Nicholas,Hamilton,expert
Christina,Davila,intermediate
Mark,Ochoa,expert
Christian,Nguyen,expert
Kelly,Beard,beginner
Matthew,Mueller,expert
Anthony,Alvarez,intermediate
Andrew,Norman,expert
Mark,Bell,beginner
Alex,Norman,intermediate
Adam,Flores,beginner
Jay,Cooper,beginner
Miguel,Harper,expert
Jamie,Davidson,intermediate
Shelby,Sharp,intermediate
Cynthia,Merritt,intermediate
Harry,Mason,expert
Savannah,Quinn,intermediate
William,Pratt,intermediate
Luis,Moses,intermediate
Debra,Osborn,beginner
Jason,Berry,beginner
Brandi,Huang,beginner
Christy,Rose,intermediate
Leslie,Rogers,expert
Robert,Mccullough,beginner
Tasha,Strickland,beginner
James,Perkins,beginner
Christopher,Blanchard,beginner
Raymond,Mckee,beginner
Stacy,Tucker,beginner
Samuel,Johnson,expert
Nathan,Bryant,expert
Brian,Duke,intermediate
Melissa,Martinez,intermediate
William,Hall,expert
Joshua,Peck,beginner
Sandra,Fisher,intermediate
Ashley,Moore,expert
Jennifer,Johnston,expert
Elizabeth,Escobar,beginner
Joseph,Mitchell,expert
Zachary,Woods,expert
Shawn,Blanchard,expert
David,Ewing,intermediate
Devin,Alvarez,intermediate
Ashley,Barrett,intermediate
Nicholas,Coleman,intermediate
Selena,Gregory,expert
Gloria,Craig,intermediate
Jeffrey,Preston,intermediate
Janet,Walker,expert
Bryan,Harris,beginner
Roy,Valdez,beginner
Tamara,Johnson,expert
Tamara,Harper,beginner
Christine,Thomas,intermediate
Gabrielle,Spears,expert
Elizabeth,Combs,beginner
Rebecca,Hawkins,expert
Mark,Parker,beginner
Matthew,Gonzalez,intermediate
David,Harris,intermediate
Nancy,Gutierrez,expert
Daniel,Hester,beginner
Linda,Odom,intermediate
Roberto,Spence,expert
Charlene,Marsh,expert
Allison,Morse,beginner
Ann,Anderson,intermediate
Maurice,Moreno,expert
Benjamin,Spencer,intermediate
Carlos,Koch,intermediate
James,Baker,expert
Kelly,Wong,beginner
Jason,Mccall,expert
James,Martinez,intermediate
Katherine,Stephens,intermediate
Keith,Acosta,intermediate
David,Stokes,intermediate
Walter,Valenzuela,beginner
Jasmine,Erickson,beginner
Kimberly,Peterson,beginner
Corey,Villanueva,intermediate
Tyler,Moore,intermediate
Nicholas,Lambert,intermediate
Tiffany,Duke,expert
Zachary,Walker,beginner
Colin,Conrad,intermediate
Sharon,Coleman,intermediate
Michael,Scott,intermediate
Megan,Greene,expert
Wanda,Thompson,beginner
Michele,Johnson,intermediate
Jessica,Roberts,intermediate
Anthony,Pollard,beginner
Christine,Hall,beginner
Natasha,Mata,intermediate
Phillip,Martinez,expert
Sonya,Haynes,beginner
Caitlin,Nguyen,intermediate
Travis,Steele,expert
Kara,Cowan,expert
Shelly,Hernandez,intermediate
Alyssa,Rogers,intermediate
Caitlin,Webb,expert
Nathan,Bentley,intermediate
James,Dixon,beginner
Eric,Alvarez,intermediate
David,Douglas,beginner
Jessica,Wright,intermediate
Monique,Barr,beginner
Robin,Patterson,beginner
Krista,Vargas,intermediate
Cody,Mccann,beginner
Sarah,Cruz,expert
Jessica,Miller,expert
Brianna,Perry,expert
Anne,Bray,intermediate
Ricky,Lyons,intermediate
Vanessa,James,beginner
Vincent,Brown,expert
Jose,Hicks,expert
Kathleen,Stokes,expert
Deanna,Kelly,intermediate
Mario,Ortiz,beginner
Jessica,Weaver,intermediate
Heather,Bender,beginner
Patrick,Lewis,beginner
Dawn,Willis,intermediate
Noah,Scott,intermediate
Tina,Gibbs,beginner
Amy,Becker,intermediate
Guy,Ewing,intermediate
Jessica,Edwards,expert
Robert,Ramos,intermediate
Olivia,Sanchez,expert
Vincent,Bean,beginner
Gabrielle,Flores,beginner
Taylor,Clark,intermediate
Cassandra,Parker,intermediate
Jacob,Cooper,expert
Hannah,Wyatt,intermediate
Paul,Day,intermediate
Jerry,Wade,expert
Jennifer,Brown,expert
Renee,Wheeler,beginner
Johnny,Gilbert,intermediate
Kathy,Williams,intermediate
Jay,Wells,expert
Paula,Cook,beginner
Brandon,Smith,beginner
Rachel,Sims,beginner
Jessica,Schwartz,intermediate
Madison,Zamora,expert
Jesse,Johnson,beginner
Jake,Alvarez,intermediate
Diana,Stephenson,intermediate
Sean,Ramirez,beginner
Shane,Rivers,expert
Joseph,Roberts,beginner
Belinda,Hurst,expert
Todd,Wilson,intermediate
Caleb,Boyle,intermediate
Jennifer,Walker,expert
Sandra,Nelson,beginner
Larry,Johnson,expert
Samuel,Greer,intermediate
Jessica,Hardy,expert
James,Gallegos,beginner
Stephanie,Anderson,expert
Joshua,Hamilton,intermediate
Elijah,Brown,beginner
Aaron,Campbell,intermediate
Ryan,Martinez,intermediate
Darius,Jones,intermediate
Spencer,Carroll,beginner
Alexander,Smith,intermediate
Christopher,Velasquez,expert
Joseph,Contreras,expert
Jacqueline,Smith,beginner
Kari,Allen,intermediate
Anthony,Robles,intermediate
Mary,Fisher,expert
Michael,Johnson,expert
Gina,Johnson,beginner
Gloria,Bailey,beginner
Sophia,Taylor,expert
Michael,Reilly,intermediate
Andre,Freeman,expert
Tyler,Herring,intermediate
Justin,Gibbs,beginner
Megan,Sullivan,intermediate
Ryan,Potter,intermediate
Dwayne,Chang,beginner
Madison,Steele,expert
Blake,Santos,intermediate
Susan,Kelly,intermediate
Darrell,Arnold,intermediate
Jason,Sloan,intermediate
Toni,Kaiser,expert
Mary,Walker,expert
Andrea,Church,beginner
Shawn,Nelson,expert
Tina,Peterson,beginner
Margaret,Bell,intermediate
Amy,Garcia,beginner
Dustin,Foster,intermediate
Ashley,Mccarthy,intermediate
Christopher,Shields,intermediate
Michael,Rhodes,intermediate
Linda,Bates,beginner
Earl,Dunn,beginner
Joanna,Beck,expert
Cindy,Brown,intermediate
Megan,Brown,expert
Matthew,Carpenter,beginner
Jessica,Butler,beginner
Rachel,Garner,intermediate
Julie,Hart,beginner
Christine,Weaver,intermediate
Karen,Hoffman,intermediate
April,Reeves,beginner
Wesley,Brown,expert
Michael,Porter,expert
Keith,Hardy,expert
Tanya,Jones,expert
Christopher,Hammond,intermediate
Jessica,Clark,intermediate
Melissa,Frost,intermediate
Craig,Martin,expert
Kevin,Morales,expert
Megan,Snyder,beginner
Tammie,Miller,intermediate
Joshua,Butler,beginner
Kim,Bell,intermediate
Joseph,Bennett,intermediate
Wendy,Copeland,intermediate
Tina,Montgomery,beginner
Christopher,Maxwell,beginner
Derrick,Collins,beginner
Christopher,Mendez,intermediate
Karen,Dillon,beginner
Alex,Martinez,beginner
Jennifer,Harris,expert
Sean,Summers,beginner
Katherine,Summers,intermediate
Charles,West,expert
Dennis,Lee,beginner
William,White,intermediate
Brian,Morales,intermediate
Cynthia,Beasley,expert
Albert,Smith,intermediate
Jonathan,Ellis,intermediate
Amber,White,intermediate
Antonio,Rice,expert
Melinda,Shaw,intermediate
Leonard,Crawford,beginner
William,Nelson,intermediate
Aaron,Bailey,intermediate
Kyle,Dunn,beginner
Robert,Garcia,expert
Nancy,Nguyen,expert
Brandon,Tyler,intermediate
Megan,Mitchell,expert
Melinda,Hubbard,intermediate
Katie,Jones,expert
Samantha,Parks,beginner
Mary,Martin,beginner
Ashley,Moore,intermediate
Beth,Pierce,intermediate
Isaac,Parsons,intermediate
Melissa,Moody,expert
John,Huber,beginner
Paul,Garner,beginner
James,Mendoza,beginner
Frank,Silva,intermediate
Michael,Grimes,intermediate
Lindsey,Horton,expert
Christopher,Jordan,expert
Jon,King,intermediate
George,Peterson,intermediate
Lynn,Michael,intermediate
Meredith,Brooks,beginner
Pamela,Dunlap,intermediate
Luis,Henry,intermediate
Susan,Gardner,expert
Jillian,Mason,beginner
Eric,Adkins,intermediate
Cindy,Morales,expert
Brad,Willis,expert
Felicia,Powell,expert
Justin,Griffith,beginner
